country_name,iso3,year,poverty_extreme_equity,poverty_moderate_equity,poverty_gap_equity,informality_productivity_equity,informality_social_protection_equity,female_lfp_equity,male_lfp_equity,lfp_total_equity,unemployment_equity,youth_unemployment_equity,labor_income_gini_equity,source_equity_lab,labor_force_participation_ilostat,employment_to_population_ilostat,unemployment_ilostat,informality_ilostat,working_poverty_ilostat,source_ilostat,gdp_per_capita_constant,gdp_per_capita_ppp,gdp_per_capita_growth,poverty_extreme_wdi,poverty_moderate_wdi,poverty_gap_wdi,social_protection_coverage_wdi,population_growth,source_wdi,population,gdp_per_capita_constant_alt,source_wdi_gdp_pop,social_protection_coverage_aspire,social_protection_adequacy_aspire,social_assistance_coverage_aspire,social_insurance_coverage_aspire,cash_transfer_coverage_aspire,pension_coverage_aspire,public_transfer_benefit_q1_aspire,source_aspire,gini_wb,source_wb_gini,social_expenditure,education_expenditure,health_expenditure,government_expenditure_total,source_cepal,sedlac_income_mean,source_sedlac,region_lac,bolivia,analysis_sample,monetary_poverty,extreme_poverty,poverty_gap,labor_informality,social_protection_coverage,female_labor_participation,male_labor_participation,labor_force_participation,unemployment,youth_unemployment,employment,gdp_per_capita,log_gdp_per_capita,gini,population_total,labor_informality_lag1,social_protection_lag1,poverty_lag1,informality_x_social_protection,structural_vulnerability_index
Argentina,ARG,1960,,,,,,,,,,,,,47.46157142857143,,,,,1.0,7397.10965495682,,,,,,,,1.0,,,,,,,,,,,,,1.0,,,,,,,,Mercosur,0,0,,,,,,,,47.46157142857143,,,,7397.10965495682,8.908844615725227,,,,,,,-0.5379314669656219
Argentina,ARG,1961,,,,,,,,,,,,,,,,,,,7670.59545571641,,3.69719814247078,,,,,1.65516691395024,1.0,,,,,,,,,,,,,1.0,,,,,,,,Mercosur,0,0,,,,,,,,,,,,7670.59545571641,8.945149525730752,,,,,,,-0.5812031093909064
Argentina,ARG,1962,,,,,,,,,,,,,,,,,,,7480.27172420174,,-2.48121195562244,,,,,1.65684089054911,1.0,,,,,,,,,,,,,1.0,,,,,,,,Mercosur,0,0,,,,,,,,,,,,7480.27172420174,8.92002439707366,,,,,,,-0.5512565929838011
Argentina,ARG,1963,,,,,,,,,,,,,,,,,,,6967.75019555221,,-6.85164319621322,,,,,1.64339841718671,1.0,,,,,,,,,,,,,1.0,,,,,,,,Mercosur,0,0,,,,,,,,,,,,6967.75019555221,8.849047667653224,,,,,,,-0.4666597807198415
Argentina,ARG,1964,,,,,,,,,,,,,,,,,,,7551.02490778789,,8.3710623352716,,,,,1.61030882522813,1.0,,,,,,,,,,,,,1.0,,,,,,,,Mercosur,0,0,,,,,,,,,,,,7551.02490778789,8.929438582405837,,,,,,,-0.562477313854815
Argentina,ARG,1965,,,,,,,,,,,,,,,,,,,8219.55155637229,,8.85345574605236,,,,,1.56411446631364,1.0,,,,,,,,,,,,,1.0,,,,,,,,Mercosur,0,0,,,,,,,,,,,,8219.55155637229,9.014270931376185,,,,,,,-0.6635885704364527
Argentina,ARG,1966,,,,,,,,,,,,,,,,,,,8041.22487411475,,-2.16954271817043,,,,,1.53151134539948,1.0,,,,,,,,,,,,,1.0,,,,,,,,Mercosur,0,0,,,,,,,,,,,,8041.22487411475,8.992336698096016,,,,,,,-0.637445266425293
Argentina,ARG,1967,,,,,,,,,,,,,,,,,,,8172.27456469042,,1.62972299154983,,,,,1.52552564515699,1.0,,,,,,,,,,,,,1.0,,,,,,,,Mercosur,0,0,,,,,,,,,,,,8172.27456469042,9.008502553597582,,,,,,,-0.6567132695316529
Argentina,ARG,1968,,,,,,,,,,,,,,,,,,,8436.30856351031,,3.23085080817873,,,,,1.5300700621594,1.0,,,,,,,,,,,,,1.0,,,,,,,,Mercosur,0,0,,,,,,,,,,,,8436.30856351031,9.040300117922431,,,,,,,-0.6946126289640403
Argentina,ARG,1969,,,,,,,,,,,,,,,,,,,9111.9459748551,,8.00868538956887,,,,,1.53510695155484,1.0,,,,,,,,,,,,,1.0,,,,,,,,Mercosur,0,0,,,,,,,,,,,,9111.9459748551,9.117341576098807,,,,,,,-0.7864379613949255
Argentina,ARG,1970,,,,,,,,,,,,,46.34557142857143,,,,,1.0,9244.12251785153,,1.45058523570245,,,,,1.56001941277121,1.0,,,,,,,,,,,,,1.0,,,,,,,,Mercosur,0,0,,,,,,,,46.34557142857143,,,,9244.12251785153,9.131743225076619,,,,,,,-0.8036032154833529
Argentina,ARG,1971,,,,,,,,,,,,,,,,,,1.0,9614.61061692134,,4.00782333157468,,,,,1.57425828869798,1.0,,,,,,,,,,,,,1.0,,,,,,,,Mercosur,0,0,,,,,,,,,,,,9614.61061692134,9.171039159742756,,,,,,,-0.8504398453877291
Argentina,ARG,1972,,,,,,,,,,,,,,,,,,1.0,9617.68814943737,,0.0320089147512164,,,,,1.58329622607322,1.0,,,,,,,,,,,,,1.0,,,,,,,,Mercosur,0,0,,,,,,,,,,,,9617.68814943737,9.171359197672666,,,,,,,-0.850821297011311
Argentina,ARG,1973,,,,,,,,,,,,,,,,,,1.0,9729.53258885903,,1.16290357603461,,,,,1.61675611830692,1.0,,,,,,,,,,,,,1.0,,,,,,,,Mercosur,0,0,,,,,,,,,,,,9729.53258885903,9.182921135882198,,,,,,,-0.8646019138994939
Argentina,ARG,1974,,,,,,,,,,,,,,,,,,1.0,10100.4469136163,,3.81225224716344,,,,,1.64473215761616,1.0,,,,,,,,,,,,,1.0,,,,,,,,Mercosur,0,0,,,,,,,,,,,,10100.4469136163,9.220334950723299,,,,,,,-0.9091952545061374
Argentina,ARG,1975,,,,,,,,,,,,,,,,,,1.0,9936.49583447894,,-1.62320618621685,,,,,1.60810835620248,1.0,,,,,,,,,,,,,1.0,,,,,,,,Mercosur,0,0,,,,,,,,,,,,9936.49583447894,9.203969705754135,,,,,,,-0.8896896000808799
Argentina,ARG,1976,,,,,,,,,,,,,,,,,,1.0,9584.74851751038,,-3.53995334802055,,,,,1.56523230766791,1.0,,,,,,,,,,,,,1.0,,,,,,,,Mercosur,0,0,,,,,,,,,,,,9584.74851751038,9.167928418047428,,,,,,,-0.846732167767892
Argentina,ARG,1977,,,,,,,,,,,,,45.72914285714286,,,,,1.0,10088.3374871635,,5.25406554729264,,,,,1.58361041281169,1.0,,,,,,,,,,,,,1.0,,,,,,,,Mercosur,0,0,,,,,,,,45.72914285714286,,,,10088.3374871635,9.219135331403521,,,,,,,-0.9077654341803474
Argentina,ARG,1978,,,,,,,,,,,,,45.58971428571429,,,,,1.0,9480.94009490414,,-6.0207877961285,,,,,1.59885003313826,1.0,,,,,,,,,,,,,1.0,,,,,,,,Mercosur,0,0,,,,,,,,45.58971428571429,,,,9480.94009490414,9.15703875646156,,,,,,,-0.833752834057815
Argentina,ARG,1979,,,,,,,,,,,,,45.41871428571429,,,,,1.0,10284.6064087552,,8.47665216535873,,,,,1.59684779867466,1.0,,,,,,,,,,,,,1.0,,,,,,,,Mercosur,0,0,,,,,,,,45.41871428571429,,,,10284.6064087552,9.2384035328818,,,,,,,-0.9307311080911099
Argentina,ARG,1980,,,,,,,,,,,,,45.982,,,,,1.0,10275.7987023886,,-0.0856397028385061,0.0,7.5,1.6,,1.59304228632554,1.0,,,,,,,,,,,,40.8,1.0,,,,,,677347.94,1.0,Mercosur,0,0,7.5,0.0,1.6,,,,,45.982,,,,10275.7987023886,9.237546768935978,40.8,,,,,,-1.2121257557808818
