"iso3","year","social_protection_coverage","social_assistance_coverage_aspire","social_insurance_coverage_aspire","cash_transfer_coverage_aspire","pension_coverage_aspire","social_protection_adequacy_aspire","public_transfer_benefit_q1_aspire"
"BLZ","1982","","","","","","",""
"BLZ","1983","","","","","","",""
"BLZ","1984","","","","","","",""
"BLZ","1985","","","","","","",""
"BLZ","1986","","","","","","",""
"BLZ","1987","","","","","","",""
"BLZ","1988","","","","","","",""
"BLZ","1989","","","","","","",""
"BLZ","1990","","","","","","",""
"BLZ","1991","","","","","","",""
"BLZ","1992","","","","","","",""
"BLZ","1993","","","","","","",""
"BLZ","1994","","","","","","",""
"BLZ","1995","","","","","","",""
"BLZ","1996","","","","","","",""
"BLZ","1997","","","","","","",""
"BLZ","1998","","","","","","",""
"BLZ","1999","","","","","","",""
"BLZ","2000","","","","","","",""
"BLZ","2001","","","","","","",""
"BLZ","2002","","","","","","",""
"BLZ","2003","","","","","","",""
"BLZ","2004","","","","","","",""
"BLZ","2005","","","","","","",""
"BLZ","2006","","","","","","",""
"BLZ","2007","","","","","","",""
"BLZ","2008","","","","","","",""
"BLZ","2009","39.40864156021436","16.273216326562842","28.21284175202297","","13.636344795779584","23.345619713582128","18.94196685180969"
"BLZ","2010","","","","","","",""
"BLZ","2011","","","","","","",""
"BLZ","2012","","","","","","",""
"BLZ","2013","","","","","","",""
"BLZ","2014","","","","","","",""
"BLZ","2015","","","","","","",""
"BLZ","2016","","","","","","",""
"BLZ","2017","","","","","","",""
"BLZ","2018","","","","","","",""
"BLZ","2019","","","","","","",""
"BLZ","2020","","","","","","",""
"BLZ","2021","","","","","","",""
"BLZ","2022","","","","","","",""
"BLZ","2023","","","","","","",""
"BLZ","2024","","","","","","",""
"BLZ","2025","","","","","","",""
"BOL","1950","","","","","","",""
"BOL","1960","","","","","","",""
"BOL","1961","","","","","","",""
"BOL","1962","","","","","","",""
"BOL","1963","","","","","","",""
"BOL","1964","","","","","","",""
"BOL","1965","","","","","","",""
"BOL","1966","","","","","","",""
"BOL","1967","","","","","","",""
"BOL","1968","","","","","","",""
"BOL","1969","","","","","","",""
"BOL","1970","","","","","","",""
"BOL","1971","","","","","","",""
"BOL","1972","","","","","","",""
"BOL","1973","","","","","","",""
"BOL","1974","","","","","","",""
"BOL","1975","","","","","","",""
"BOL","1976","","","","","","",""
"BOL","1977","","","","","","",""
"BOL","1978","","","","","","",""
"BOL","1979","","","","","","",""
"BOL","1980","","","","","","",""
"BOL","1981","","","","","","",""
"BOL","1982","","","","","","",""
"BOL","1983","","","","","","",""
"BOL","1984","","","","","","",""
"BOL","1985","","","","","","",""
"BOL","1986","","","","","","",""
"BOL","1987","","","","","","",""
"BOL","1988","","","","","","",""
"BOL","1989","","","","","","",""
"BOL","1990","","","","","","",""
"BOL","1991","","","","","","",""
"BOL","1992","","","","","","",""
"BOL","1993","","","","","","",""
"BOL","1994","","","","","","",""
"BOL","1995","","","","","","",""
"BOL","1996","","","","","","",""
"BOL","1997","","","","","","",""
"BOL","1998","","","","","","",""
"BOL","1999","","","","","","",""
"BOL","2000","","","","","","",""
"BOL","2001","","","","","","",""
"BOL","2002","","","","","","",""
"BOL","2003","","","","","","",""
"BOL","2004","","","","","","",""
"BOL","2005","","","","","","",""
"BOL","2006","16.136440341084544","11.665751152330278","8.092374744156148","","5.804795816382183","27.63471256586567","1.6305717987419273"
"BOL","2007","58.35292352532348","54.58851402490576","8.08623571169757","","6.045491455750824","26.674763383107862","2.051561593848854"
"BOL","2008","73.4405123074005","71.42288543233715","8.217361327856464","17.819793202352795","5.788678215193595","17.385077716221666","14.673233777967445"
"BOL","2009","79.0830860787868","77.94025847883978","8.392910482272422","18.580000929815355","5.890852061757432","17.23227896850673","14.63683234436292"
"BOL","2010","","","","","","",""
"BOL","2011","76.47872746647344","74.73251469776562","8.364060278958238","","5.672968537138476","13.256733640757702","14.577161704455875"
"BOL","2012","76.75464046304259","75.18254033578111","8.549842962239056","","5.652865915859938","12.878083341562157","14.725227399847263"
"BOL","2013","","","","","","",""
"BOL","2014","78.05819733424697","77.45261844613636","6.994403755699226","","5.517418270470677","8.405980031585445","8.090052576851521"
"BOL","2015","76.41797730389118","75.43406928183177","6.732845149280594","","5.435604823775429","8.42812834530382","8.28158802426689"
"BOL","2016","84.33253487291003","77.5747876921015","7.0471135591615965","","5.736290914230777","9.709422451804722","7.121253296951521"
"BOL","2017","83.02119193320962","77.00934476129243","6.5368478107033","","5.198269243001305","10.164170477147731","9.94343214907006"
"BOL","2018","83.6148726327525","77.27674532137652","6.823609493783563","","5.477317258806409","10.787042063851857","8.989359772792222"
"BOL","2019","77.99288503826286","77.21504283255142","7.907623143367124","","6.780133334403899","12.308397525026958","6.0806305423198586"
"BOL","2020","97.98707902544464","97.85402074075492","8.14275345885746","96.0328260564556","7.302577376229393","10.62681885956142","8.552278381232508"
"BOL","2021","96.93773151043015","96.80105166843306","6.805502395265808","81.71213608360462","5.767619846452029","9.431275935994805","9.76820380351752"
"BOL","2022","","","","","","",""
"BOL","2023","","","","","","",""
"BOL","2024","","","","","","",""
"BOL","2025","","","","","","",""
"BRA","1960","","","","","","",""
"BRA","1961","","","","","","",""
"BRA","1962","","","","","","",""
"BRA","1963","","","","","","",""
"BRA","1964","","","","","","",""
"BRA","1965","","","","","","",""
"BRA","1966","","","","","","",""
"BRA","1967","","","","","","",""
"BRA","1968","","","","","","",""
"BRA","1969","","","","","","",""
"BRA","1970","","","","","","",""
"BRA","1971","","","","","","",""
"BRA","1972","","","","","","",""
"BRA","1973","","","","","","",""
"BRA","1974","","","","","","",""
"BRA","1975","","","","","","",""
"BRA","1976","","","","","","",""
"BRA","1977","","","","","","",""
"BRA","1978","","","","","","",""
"BRA","1979","","","","","","",""
"BRA","1980","","","","","","",""
"BRA","1981","","","","","","",""
"BRA","1982","","","","","","",""
"BRA","1983","","","","","","",""
"BRA","1984","","","","","","",""
"BRA","1985","","","","","","",""
"BRA","1986","","","","","","",""
"BRA","1987","","","","","","",""
"BRA","1988","","","","","","",""
"BRA","1989","","","","","","",""
"BRA","1990","","","","","","",""
"BRA","1991","","","","","","",""
