"iso3","country","year","variable","raw_value","wdi_comparable_range","decision","poverty_current_excluded","poverty_lag1_excluded","lag_exclusion_reason"
"NIC","Nicaragua","2023","monetary_poverty","1.7","46.5-82.2 (all available country WDI years, n=6)","exclude: Equity Lab fallback incompatible with WDI-scale country series","True","True","Lagged poverty is derived from an excluded Equity Lab fallback year."
"NIC","Nicaragua","2024","extreme_poverty","2.6","6.6-47.1 (all available country WDI years, n=6)","retain: Equity Lab fallback within nearby WDI range","False","False",""
"NIC","Nicaragua","2024","monetary_poverty","2","46.5-82.2 (all available country WDI years, n=6)","exclude: Equity Lab fallback incompatible with WDI-scale country series","True","True","Lagged poverty is derived from an excluded Equity Lab fallback year."
"PAN","Panama","2020","extreme_poverty","0.5","2.9-4.8 (nearby +/-5 years, n=8)","retain: Equity Lab fallback within nearby WDI range","False","False",""
"PAN","Panama","2020","monetary_poverty","0.5","17.8-22 (nearby +/-5 years, n=8)","exclude: Equity Lab fallback incompatible with WDI-scale country series","True","False",""
"PAN","Panama","2022","extreme_poverty","0.6","2.9-4.3 (nearby +/-5 years, n=6)","retain: Equity Lab fallback within nearby WDI range","False","False",""
"PAN","Panama","2022","monetary_poverty","0.5","17.8-20.7 (nearby +/-5 years, n=6)","exclude: Equity Lab fallback incompatible with WDI-scale country series","True","False",""
"PRY","Paraguay","2000","extreme_poverty","0.9","10.1-19.6 (nearby +/-5 years, n=8)","exclude: Equity Lab fallback incompatible with WDI-scale country series","True","False",""
"PRY","Paraguay","2000","monetary_poverty","1","43-57.5 (nearby +/-5 years, n=8)","exclude: Equity Lab fallback incompatible with WDI-scale country series","True","False",""
"SLV","El Salvador","2020","extreme_poverty","1.5","3-5.8 (nearby +/-5 years, n=8)","retain: Equity Lab fallback within nearby WDI range","False","False",""
"SLV","El Salvador","2020","monetary_poverty","1.4","29.9-46.6 (nearby +/-5 years, n=8)","exclude: Equity Lab fallback incompatible with WDI-scale country series","True","False",""
"SLV","El Salvador","2024","extreme_poverty","1.3","3-5.2 (nearby +/-5 years, n=4)","retain: Equity Lab fallback within nearby WDI range","False","False",""
"SLV","El Salvador","2024","monetary_poverty","1.3","29.9-34.7 (nearby +/-5 years, n=4)","exclude: Equity Lab fallback incompatible with WDI-scale country series","True","False",""
