"iso3","country","year","variable","raw_value","wdi_comparable_range","decision","poverty_current_excluded","poverty_lag1_excluded","lag_exclusion_reason"
"COL","Colombia","2006","monetary_poverty","11","47-71.5 (nearby +/-5 years, n=9)","exclude: Equity Lab fallback incompatible with WDI-scale country series","True","False",""
"COL","Colombia","2007","extreme_poverty","13","11.3-21.2 (nearby +/-5 years, n=9)","retain: Equity Lab fallback within nearby WDI range","False","False",""
"COL","Colombia","2007","monetary_poverty","11","46.3-63.3 (nearby +/-5 years, n=9)","exclude: Equity Lab fallback incompatible with WDI-scale country series","True","True","Lagged poverty is derived from an excluded Equity Lab fallback year."
"ECU","Ecuador","2001","extreme_poverty","3.4","10.9-34.1 (nearby +/-5 years, n=7)","exclude: Equity Lab fallback incompatible with WDI-scale country series","True","False",""
"ECU","Ecuador","2001","monetary_poverty","3.3","46.8-76.6 (nearby +/-5 years, n=7)","exclude: Equity Lab fallback incompatible with WDI-scale country series","True","False",""
"ECU","Ecuador","2002","extreme_poverty","3.5","10.9-34.1 (nearby +/-5 years, n=8)","exclude: Equity Lab fallback incompatible with WDI-scale country series","True","True","Lagged poverty is derived from an excluded Equity Lab fallback year."
"ECU","Ecuador","2002","monetary_poverty","3.3","45.9-76.6 (nearby +/-5 years, n=8)","exclude: Equity Lab fallback incompatible with WDI-scale country series","True","True","Lagged poverty is derived from an excluded Equity Lab fallback year."
"GTM","Guatemala","2001","extreme_poverty","1.4","8.8-13.4 (nearby +/-5 years, n=3)","exclude: Equity Lab fallback incompatible with WDI-scale country series","True","False",""
"GTM","Guatemala","2001","monetary_poverty","2.1","40.2-46.6 (nearby +/-5 years, n=3)","exclude: Equity Lab fallback incompatible with WDI-scale country series","True","False",""
"GTM","Guatemala","2002","extreme_poverty","1.6","8.8-13.4 (nearby +/-5 years, n=3)","exclude: Equity Lab fallback incompatible with WDI-scale country series","True","True","Lagged poverty is derived from an excluded Equity Lab fallback year."
"GTM","Guatemala","2002","monetary_poverty","2.1","40.2-46.6 (nearby +/-5 years, n=3)","exclude: Equity Lab fallback incompatible with WDI-scale country series","True","True","Lagged poverty is derived from an excluded Equity Lab fallback year."
"GTM","Guatemala","2003","extreme_poverty","1.7","8.8-13.4 (nearby +/-5 years, n=3)","exclude: Equity Lab fallback incompatible with WDI-scale country series","True","True","Lagged poverty is derived from an excluded Equity Lab fallback year."
"GTM","Guatemala","2003","monetary_poverty","2.1","40.2-46.6 (nearby +/-5 years, n=3)","exclude: Equity Lab fallback incompatible with WDI-scale country series","True","True","Lagged poverty is derived from an excluded Equity Lab fallback year."
"GTM","Guatemala","2004","extreme_poverty","1.9","8.8-10.5 (nearby +/-5 years, n=2)","exclude: Equity Lab fallback incompatible with WDI-scale country series","True","True","Lagged poverty is derived from an excluded Equity Lab fallback year."
"GTM","Guatemala","2004","monetary_poverty","2.2","40.2-41.7 (nearby +/-5 years, n=2)","exclude: Equity Lab fallback incompatible with WDI-scale country series","True","True","Lagged poverty is derived from an excluded Equity Lab fallback year."
"GTM","Guatemala","2005","extreme_poverty","2.1","8.8-10.5 (nearby +/-5 years, n=2)","exclude: Equity Lab fallback incompatible with WDI-scale country series","True","True","Lagged poverty is derived from an excluded Equity Lab fallback year."
"GTM","Guatemala","2005","monetary_poverty","2.3","40.2-41.7 (nearby +/-5 years, n=2)","exclude: Equity Lab fallback incompatible with WDI-scale country series","True","True","Lagged poverty is derived from an excluded Equity Lab fallback year."
"GTM","Guatemala","2007","extreme_poverty","2.5","8-47.4 (all available country WDI years, n=7)","retain: Equity Lab fallback within nearby WDI range","False","False",""
"GTM","Guatemala","2007","monetary_poverty","2.6","40.2-83 (all available country WDI years, n=7)","exclude: Equity Lab fallback incompatible with WDI-scale country series","True","False",""
"GTM","Guatemala","2008","extreme_poverty","2.6","8-47.4 (all available country WDI years, n=7)","retain: Equity Lab fallback within nearby WDI range","False","False",""
"GTM","Guatemala","2008","monetary_poverty","2.7","40.2-83 (all available country WDI years, n=7)","exclude: Equity Lab fallback incompatible with WDI-scale country series","True","True","Lagged poverty is derived from an excluded Equity Lab fallback year."
"GTM","Guatemala","2009","extreme_poverty","2.9","8-10.5 (nearby +/-5 years, n=2)","exclude: Equity Lab fallback incompatible with WDI-scale country series","True","False",""
"GTM","Guatemala","2009","monetary_poverty","3","40.2-44.8 (nearby +/-5 years, n=2)","exclude: Equity Lab fallback incompatible with WDI-scale country series","True","True","Lagged poverty is derived from an excluded Equity Lab fallback year."
"GTM","Guatemala","2010","extreme_poverty","3.3","8-10.5 (nearby +/-5 years, n=2)","retain: Equity Lab fallback within nearby WDI range","False","True","Lagged poverty is derived from an excluded Equity Lab fallback year."
"GTM","Guatemala","2010","monetary_poverty","3.2","40.2-44.8 (nearby +/-5 years, n=2)","exclude: Equity Lab fallback incompatible with WDI-scale country series","True","True","Lagged poverty is derived from an excluded Equity Lab fallback year."
"GTM","Guatemala","2011","extreme_poverty","3.6","8-10.5 (nearby +/-5 years, n=2)","retain: Equity Lab fallback within nearby WDI range","False","False",""
"GTM","Guatemala","2011","monetary_poverty","3.4","40.2-44.8 (nearby +/-5 years, n=2)","exclude: Equity Lab fallback incompatible with WDI-scale country series","True","True","Lagged poverty is derived from an excluded Equity Lab fallback year."
"GTM","Guatemala","2012","extreme_poverty","3.6","8-47.4 (all available country WDI years, n=7)","retain: Equity Lab fallback within nearby WDI range","False","False",""
"GTM","Guatemala","2012","monetary_poverty","3.6","40.2-83 (all available country WDI years, n=7)","exclude: Equity Lab fallback incompatible with WDI-scale country series","True","True","Lagged poverty is derived from an excluded Equity Lab fallback year."
"GTM","Guatemala","2013","extreme_poverty","3.8","8-47.4 (all available country WDI years, n=7)","retain: Equity Lab fallback within nearby WDI range","False","False",""
"GTM","Guatemala","2013","monetary_poverty","3.8","40.2-83 (all available country WDI years, n=7)","exclude: Equity Lab fallback incompatible with WDI-scale country series","True","True","Lagged poverty is derived from an excluded Equity Lab fallback year."
"GTM","Guatemala","2015","extreme_poverty","4.2","8-47.4 (all available country WDI years, n=7)","retain: Equity Lab fallback within nearby WDI range","False","False",""
"GTM","Guatemala","2015","monetary_poverty","4.2","40.2-83 (all available country WDI years, n=7)","exclude: Equity Lab fallback incompatible with WDI-scale country series","True","False",""
"GTM","Guatemala","2016","extreme_poverty","4.2","8-47.4 (all available country WDI years, n=7)","retain: Equity Lab fallback within nearby WDI range","False","False",""
"GTM","Guatemala","2016","monetary_poverty","4.2","40.2-83 (all available country WDI years, n=7)","exclude: Equity Lab fallback incompatible with WDI-scale country series","True","True","Lagged poverty is derived from an excluded Equity Lab fallback year."
"GTM","Guatemala","2017","extreme_poverty","4.2","8-47.4 (all available country WDI years, n=7)","retain: Equity Lab fallback within nearby WDI range","False","False",""
"GTM","Guatemala","2017","monetary_poverty","4.3","40.2-83 (all available country WDI years, n=7)","exclude: Equity Lab fallback incompatible with WDI-scale country series","True","True","Lagged poverty is derived from an excluded Equity Lab fallback year."
"GTM","Guatemala","2018","extreme_poverty","4.4","8-9.7 (nearby +/-5 years, n=2)","retain: Equity Lab fallback within nearby WDI range","False","False",""
"GTM","Guatemala","2018","monetary_poverty","4.4","44.8-47.3 (nearby +/-5 years, n=2)","exclude: Equity Lab fallback incompatible with WDI-scale country series","True","True","Lagged poverty is derived from an excluded Equity Lab fallback year."
"GTM","Guatemala","2019","extreme_poverty","4.4","8-9.7 (nearby +/-5 years, n=2)","retain: Equity Lab fallback within nearby WDI range","False","False",""
"GTM","Guatemala","2019","monetary_poverty","4.4","44.8-47.3 (nearby +/-5 years, n=2)","exclude: Equity Lab fallback incompatible with WDI-scale country series","True","True","Lagged poverty is derived from an excluded Equity Lab fallback year."
"GTM","Guatemala","2020","extreme_poverty","6.1","8-47.4 (all available country WDI years, n=7)","retain: Equity Lab fallback within nearby WDI range","False","False",""
"GTM","Guatemala","2020","monetary_poverty","4.9","40.2-83 (all available country WDI years, n=7)","exclude: Equity Lab fallback incompatible with WDI-scale country series","True","True","Lagged poverty is derived from an excluded Equity Lab fallback year."
"GTM","Guatemala","2021","extreme_poverty","4.8","8-47.4 (all available country WDI years, n=7)","retain: Equity Lab fallback within nearby WDI range","False","False",""
"GTM","Guatemala","2021","monetary_poverty","4.5","40.2-83 (all available country WDI years, n=7)","exclude: Equity Lab fallback incompatible with WDI-scale country series","True","True","Lagged poverty is derived from an excluded Equity Lab fallback year."
"GTM","Guatemala","2022","extreme_poverty","6.2","8-47.4 (all available country WDI years, n=7)","retain: Equity Lab fallback within nearby WDI range","False","False",""
"GTM","Guatemala","2022","monetary_poverty","5.1","40.2-83 (all available country WDI years, n=7)","exclude: Equity Lab fallback incompatible with WDI-scale country series","True","True","Lagged poverty is derived from an excluded Equity Lab fallback year."
"GTM","Guatemala","2024","extreme_poverty","8.2","8-47.4 (all available country WDI years, n=7)","retain: Equity Lab fallback within nearby WDI range","False","False",""
"GTM","Guatemala","2024","monetary_poverty","6.2","40.2-83 (all available country WDI years, n=7)","exclude: Equity Lab fallback incompatible with WDI-scale country series","True","False",""
"HND","Honduras","2000","extreme_poverty","2.2","26.5-38.2 (nearby +/-5 years, n=10)","exclude: Equity Lab fallback incompatible with WDI-scale country series","True","False",""
"HND","Honduras","2000","monetary_poverty","1.7","59.9-77 (nearby +/-5 years, n=10)","exclude: Equity Lab fallback incompatible with WDI-scale country series","True","False",""
"HND","Honduras","2020","extreme_poverty","8.2","15.7-19.9 (nearby +/-5 years, n=7)","exclude: Equity Lab fallback incompatible with WDI-scale country series","True","False",""
"HND","Honduras","2020","monetary_poverty","3.6","49.8-58 (nearby +/-5 years, n=7)","exclude: Equity Lab fallback incompatible with WDI-scale country series","True","False",""
"HND","Honduras","2021","extreme_poverty","6.1","15.7-19.8 (nearby +/-5 years, n=6)","exclude: Equity Lab fallback incompatible with WDI-scale country series","True","True","Lagged poverty is derived from an excluded Equity Lab fallback year."
"HND","Honduras","2021","monetary_poverty","3.3","49.8-56.4 (nearby +/-5 years, n=6)","exclude: Equity Lab fallback incompatible with WDI-scale country series","True","True","Lagged poverty is derived from an excluded Equity Lab fallback year."
"HND","Honduras","2022","extreme_poverty","7.7","15.7-19.8 (nearby +/-5 years, n=5)","exclude: Equity Lab fallback incompatible with WDI-scale country series","True","True","Lagged poverty is derived from an excluded Equity Lab fallback year."
"HND","Honduras","2022","monetary_poverty","3.7","49.8-56.4 (nearby +/-5 years, n=5)","exclude: Equity Lab fallback incompatible with WDI-scale country series","True","True","Lagged poverty is derived from an excluded Equity Lab fallback year."
"MEX","Mexico","2001","extreme_poverty","18.3","9-21.9 (nearby +/-5 years, n=7)","retain: Equity Lab fallback within nearby WDI range","False","False",""
"MEX","Mexico","2001","monetary_poverty","22.3","45.9-65.6 (nearby +/-5 years, n=7)","exclude: Equity Lab fallback incompatible with WDI-scale country series","True","False",""
"MEX","Mexico","2003","extreme_poverty","16.8","9-21.9 (nearby +/-5 years, n=7)","retain: Equity Lab fallback within nearby WDI range","False","False",""
"MEX","Mexico","2003","monetary_poverty","21.9","45.9-62.2 (nearby +/-5 years, n=7)","exclude: Equity Lab fallback incompatible with WDI-scale country series","True","False",""
"MEX","Mexico","2007","extreme_poverty","19.4","7.3-12.8 (nearby +/-5 years, n=7)","exclude: Equity Lab fallback incompatible with WDI-scale country series","True","False",""
"MEX","Mexico","2007","monetary_poverty","23.3","44.1-52.9 (nearby +/-5 years, n=7)","exclude: Equity Lab fallback incompatible with WDI-scale country series","True","False",""
"MEX","Mexico","2009","extreme_poverty","24.4","7.2-11.7 (nearby +/-5 years, n=7)","exclude: Equity Lab fallback incompatible with WDI-scale country series","True","False",""
"MEX","Mexico","2009","monetary_poverty","26.5","44.1-50.4 (nearby +/-5 years, n=7)","exclude: Equity Lab fallback incompatible with WDI-scale country series","True","False",""
"MEX","Mexico","2011","extreme_poverty","22.5","4.4-10.1 (nearby +/-5 years, n=6)","exclude: Equity Lab fallback incompatible with WDI-scale country series","True","False",""
"MEX","Mexico","2011","monetary_poverty","27.1","37.8-46.6 (nearby +/-5 years, n=6)","exclude: Equity Lab fallback incompatible with WDI-scale country series","True","False",""
"MEX","Mexico","2013","extreme_poverty","25","3.9-10.1 (nearby +/-5 years, n=6)","exclude: Equity Lab fallback incompatible with WDI-scale country series","True","False",""
"MEX","Mexico","2013","monetary_poverty","29.8","35.3-46.6 (nearby +/-5 years, n=6)","exclude: Equity Lab fallback incompatible with WDI-scale country series","True","False",""
"MEX","Mexico","2015","extreme_poverty","21.5","3.9-8.4 (nearby +/-5 years, n=6)","exclude: Equity Lab fallback incompatible with WDI-scale country series","True","False",""
"MEX","Mexico","2015","monetary_poverty","27.8","35.3-46.6 (nearby +/-5 years, n=6)","exclude: Equity Lab fallback incompatible with WDI-scale country series","True","False",""
"MEX","Mexico","2017","extreme_poverty","16.2","2.3-7.3 (nearby +/-5 years, n=6)","exclude: Equity Lab fallback incompatible with WDI-scale country series","True","False",""
"MEX","Mexico","2017","monetary_poverty","26.5","27.4-46.6 (nearby +/-5 years, n=6)","retain: Equity Lab fallback within nearby WDI range","False","False",""
"MEX","Mexico","2019","extreme_poverty","13.7","1.6-7.2 (nearby +/-5 years, n=6)","exclude: Equity Lab fallback incompatible with WDI-scale country series","True","False",""
"MEX","Mexico","2019","monetary_poverty","25.5","21.4-46.6 (nearby +/-5 years, n=6)","retain: Equity Lab fallback within nearby WDI range","False","False",""
