section,country,iso3,event_label,event_year,outcome,relative_year,estimate,std.error,statistic,p.value,n_obs,n_countries,treated_relative_years,note
core,Bolivia,BOL,Renta Dignidad,2008,extreme_poverty,1,1.7980814016643918,1.5253720182312396,1.1787822119284548,0.2581316826756356,111,18,"-4, -3, -2, -1, 0, 1, 3, 4",Country and year fixed effects; country-clustered standard errors; reference relative year is -1.
core,Bolivia,BOL,Renta Dignidad,2008,extreme_poverty,3,1.4783835122306126,1.7274605518973247,0.855813182307901,0.4065104471808142,111,18,"-4, -3, -2, -1, 0, 1, 3, 4",Country and year fixed effects; country-clustered standard errors; reference relative year is -1.
core,Bolivia,BOL,Renta Dignidad,2008,extreme_poverty,4,1.2696576351988078,1.5793852800892545,0.8038935471951826,0.43489666677591743,111,18,"-4, -3, -2, -1, 0, 1, 3, 4",Country and year fixed effects; country-clustered standard errors; reference relative year is -1.
core,Bolivia,BOL,Renta Dignidad,2008,labor_informality,-4,-11.225182624921061,5.295058421217585,-2.119935557262437,0.060030103864516016,75,14,"-4, -3, -2, -1, 0, 1, 3, 4",Country and year fixed effects; country-clustered standard errors; reference relative year is -1.
core,Bolivia,BOL,Renta Dignidad,2008,labor_informality,-3,2.628567430803652,1.623028268122882,1.6195450704279657,0.13639876813350219,75,14,"-4, -3, -2, -1, 0, 1, 3, 4",Country and year fixed effects; country-clustered standard errors; reference relative year is -1.
core,Bolivia,BOL,Renta Dignidad,2008,labor_informality,-2,8.548991701948164,1.1282401867856329,7.577279910853312,1.8882293675433492e-5,75,14,"-4, -3, -2, -1, 0, 1, 3, 4",Country and year fixed effects; country-clustered standard errors; reference relative year is -1.
core,Bolivia,BOL,Renta Dignidad,2008,labor_informality,0,-0.08939401876871411,2.423668687387969,-0.036883761891174836,0.9713035950555017,75,14,"-4, -3, -2, -1, 0, 1, 3, 4",Country and year fixed effects; country-clustered standard errors; reference relative year is -1.
core,Bolivia,BOL,Renta Dignidad,2008,labor_informality,1,1.2656232647377155,1.8948653517253626,0.6679225326408058,0.5193003164842274,75,14,"-4, -3, -2, -1, 0, 1, 3, 4",Country and year fixed effects; country-clustered standard errors; reference relative year is -1.
core,Bolivia,BOL,Renta Dignidad,2008,labor_informality,3,1.0679980810723197,3.1758742338235395,0.33628475261960283,0.7436060857098471,75,14,"-4, -3, -2, -1, 0, 1, 3, 4",Country and year fixed effects; country-clustered standard errors; reference relative year is -1.
core,Bolivia,BOL,Renta Dignidad,2008,labor_informality,4,-0.07221290819959947,2.9398046023615776,-0.024563846230320898,0.9808861173440075,75,14,"-4, -3, -2, -1, 0, 1, 3, 4",Country and year fixed effects; country-clustered standard errors; reference relative year is -1.
mechanism,Bolivia,BOL,Renta Dignidad,2008,social_protection_coverage,-2,-62.221589128019346,3.493228915436864,-17.812056018733003,5.370153574126511e-10,63,17,"-2, -1, 0, 1, 3, 4",Country and year fixed effects; country-clustered standard errors; reference relative year is -1.
mechanism,Bolivia,BOL,Renta Dignidad,2008,social_protection_coverage,0,1.7362599047063245,1.7188986268747153,1.0101002336962566,0.3323815747726996,63,17,"-2, -1, 0, 1, 3, 4",Country and year fixed effects; country-clustered standard errors; reference relative year is -1.
mechanism,Bolivia,BOL,Renta Dignidad,2008,social_protection_coverage,1,4.676843991646033,3.436428691228453,1.3609605820088053,0.1985374963585212,63,17,"-2, -1, 0, 1, 3, 4",Country and year fixed effects; country-clustered standard errors; reference relative year is -1.
mechanism,Bolivia,BOL,Renta Dignidad,2008,social_protection_coverage,3,1.7075098474882715,6.544679461951092,0.26090045469992057,0.7985927927257978,63,17,"-2, -1, 0, 1, 3, 4",Country and year fixed effects; country-clustered standard errors; reference relative year is -1.
mechanism,Bolivia,BOL,Renta Dignidad,2008,social_protection_coverage,4,-8.646438143456496,5.272958868657983,-1.6397696926577952,0.12698561125716465,63,17,"-2, -1, 0, 1, 3, 4",Country and year fixed effects; country-clustered standard errors; reference relative year is -1.
