model,term,estimate,cluster_std.error,cluster_p.value,wild_bootstrap_std.error,wild_bootstrap_p.value,dk_std.error,dk_p.value,dk_lag
TWFE baseline,labor_informality,0.08880569423128865,0.0797878134555812,0.2832176839485752,0.05333264432995945,0.111,0.01930401196579988,9.401571488233132e-6,2
TWFE baseline,social_protection_coverage,-0.10237303114487811,0.03957510952126523,0.020633703006880354,0.03131208121060255,0.001,0.014160248908450463,2.944603878786182e-11,2
TWFE baseline,log_gdp_per_capita,-25.968249696013427,8.574077449834371,0.008463272603263964,7.838241722232312,0.001,2.7947187719654236,2.8215253546320566e-16,2
TWFE baseline,gini,0.5083426641449518,0.19050735508529756,0.017535559269542696,0.16521628253497386,0.43,0.1202723418012363,4.27277448908071e-5,2
TWFE baseline,unemployment,0.893497778049635,0.27441091080933705,0.005316894142005345,0.2873930818882289,0.229,0.14212262830959901,3.921514081067215e-9,2
TWFE interaction,labor_informality,0.21833910971725645,0.12506278023761594,0.10128169789050365,0.09443465085972359,0.179,0.05260564296008472,5.774873466393304e-5,2
TWFE interaction,social_protection_coverage,0.02296736757381934,0.1026361804536054,0.8259519056118182,0.08543330116225752,0.917,0.04995971762164128,0.646442271982862,2
TWFE interaction,labor_informality:social_protection_coverage,-0.0018899264685494216,0.0015154146164086469,0.23146993273719824,0.0011241103127231388,0.547,8.467144381327362e-4,0.027222167300122706,2
