model,term,estimate,std.error,statistic,p.value,bootstrap_reps,bootstrap_valid_reps,bootstrap_std.error,wild_p.value,inference
TWFE baseline,labor_informality,0.08880569423128865,0.0797878134555812,1.1130232849497474,0.2832176839485752,999,999,0.05333264432995945,0.111,Rademacher wild cluster bootstrap by country
TWFE baseline,social_protection_coverage,-0.10237303114487811,0.03957510952126523,-2.5868034828777704,0.020633703006880354,999,999,0.03131208121060255,0.001,Rademacher wild cluster bootstrap by country
TWFE baseline,log_gdp_per_capita,-25.968249696013427,8.574077449834371,-3.0286931565465465,0.008463272603263964,999,999,7.838241722232312,0.001,Rademacher wild cluster bootstrap by country
TWFE baseline,gini,0.5083426641449518,0.19050735508529756,2.668362404786665,0.017535559269542696,999,999,0.16521628253497386,0.43,Rademacher wild cluster bootstrap by country
TWFE baseline,unemployment,0.893497778049635,0.27441091080933705,3.2560577690383625,0.005316894142005345,999,999,0.2873930818882289,0.229,Rademacher wild cluster bootstrap by country
TWFE interaction,labor_informality,0.21833910971725645,0.12506278023761594,1.7458360457237396,0.10128169789050365,999,999,0.09443465085972359,0.179,Rademacher wild cluster bootstrap by country
TWFE interaction,social_protection_coverage,0.02296736757381934,0.1026361804536054,0.22377457415420163,0.8259519056118182,999,999,0.08543330116225752,0.917,Rademacher wild cluster bootstrap by country
TWFE interaction,labor_informality:social_protection_coverage,-0.0018899264685494216,0.0015154146164086469,-1.247134908219589,0.23146993273719824,999,999,0.0011241103127231388,0.547,Rademacher wild cluster bootstrap by country
