model,term,estimate,std.error,statistic,p.value,conf.low,conf.high,se_type
Model 1 - Pooled OLS,(Intercept),97.11499680706241,51.15072618376603,1.8986044588724587,0.05929094601739633,-3.14042651311901,197.37042012724385,HC1 country-clustered
Model 1 - Pooled OLS,labor_informality,0.24115039217228382,0.16401458835580365,1.4702984325342223,0.14330787742576787,-0.08031820100509132,0.5626189853496589,HC1 country-clustered
Model 1 - Pooled OLS,social_protection_coverage,-0.21665013498682303,0.10253888947108808,-2.1128582151058874,0.036055984548450916,-0.41762635835015566,-0.01567391162349041,HC1 country-clustered
Model 1 - Pooled OLS,log_gdp_per_capita,-10.448963178813635,5.651343474098648,-1.8489343687396695,0.06618375838702913,-21.525596388046985,0.6276700304197149,HC1 country-clustered
Model 1 - Pooled OLS,gini,0.5022589677288989,0.37035918000840395,1.356140187256873,0.1768321976958136,-0.2236450250875729,1.2281629605453706,HC1 country-clustered
Model 1 - Pooled OLS,unemployment,0.15883408767121246,0.40100121181553866,0.39609378473468665,0.6925267653295357,-0.6271282874872434,0.9447964628296682,HC1 country-clustered
Model 2 - Random Effects,(Intercept),221.11294845500723,36.60251712217467,6.040921932143617,9.216117464498147e-9,149.37201489554488,292.8538820144696,Arellano HC1 country-clustered
Model 2 - Random Effects,labor_informality,0.07586676242067937,0.06948685169975932,1.0918146464382432,0.27644156918065593,-0.060327466910848906,0.21206099175220766,Arellano HC1 country-clustered
Model 2 - Random Effects,social_protection_coverage,-0.08338840888670097,0.03377273619205274,-2.4691043216783717,0.014521769866339969,-0.14958297182312436,-0.017193845950277606,Arellano HC1 country-clustered
Model 2 - Random Effects,log_gdp_per_capita,-25.96232363409601,3.6263212794675797,-7.159410772866718,2.255496052663461e-11,-33.06991334185246,-18.854733926339552,Arellano HC1 country-clustered
Model 2 - Random Effects,gini,0.7989095736081349,0.18906350395403315,4.225614975391406,3.858783502402345e-5,0.4283451058582299,1.1694740413580398,Arellano HC1 country-clustered
Model 2 - Random Effects,unemployment,0.4312183917187378,0.18373639824457783,2.346940485601161,0.02006677830132189,0.07109505115936532,0.7913417322781103,Arellano HC1 country-clustered
Model 3 - Country Fixed Effects,labor_informality,0.09396984201727081,0.07266944133396573,1.29311358794428,0.19788345682421485,-0.04846226299730201,0.23640194703184364,Arellano HC1 country-clustered
Model 3 - Country Fixed Effects,social_protection_coverage,-0.07454610338997043,0.03140316057659453,-2.373840786125563,0.018821041503448894,-0.13609629812009572,-0.012995908659845158,Arellano HC1 country-clustered
