model,term,beta_restricted,beta_full,r_restricted,r_full,r_max,rmax_multiplier,delta_to_zero,beta_adjusted_delta_1,interpretation
TWFE baseline social protection,social_protection_coverage,-0.14997258273047726,-0.10237303114487811,0.9500369613516362,0.972809804961432,1,1.3,1.8013066063849132,-0.04554037934534185,Oster proportional-selection sensitivity; larger abs(delta_to_zero) implies greater robustness to omitted-variable selection.
TWFE interaction term,labor_informality:social_protection_coverage,-0.004406408501023473,-0.0018899264685494216,0.9543190024005208,0.9731672082358099,1,1.3,0.5275397984518331,0.0016926022318363584,Oster proportional-selection sensitivity; larger abs(delta_to_zero) implies greater robustness to omitted-variable selection.
