asset_id,asset_type,name,location,root,relative_path,top_folder,subfolder,extension,size_mb,modified,possible_role
A1049,documentation,F00008773-Latinobarometro_1997_Codebook_v20190707.pdf,sources/part_ii\19_Latinobarometro\Data_base\F00008773-Latinobarometro_1997_Codebook_v20190707.pdf,sources/part_ii,19_Latinobarometro/Data_base/F00008773-Latinobarometro_1997_Codebook_v20190707.pdf,19_Latinobarometro,Data_base,.pdf,3.54,2026-06-15,codebook_or_metadata
A1050,documentation,F00008774-Latinobarometro_1996_Libro_de_codigos_v20190707.pdf,sources/part_ii\19_Latinobarometro\Data_base\F00008774-Latinobarometro_1996_Libro_de_codigos_v20190707.pdf,sources/part_ii,19_Latinobarometro/Data_base/F00008774-Latinobarometro_1996_Libro_de_codigos_v20190707.pdf,19_Latinobarometro,Data_base,.pdf,2.612,2026-06-15,methodological_documentation
A1051,documentation,F00008775-Latinobarometro_1996_Codebook_v20190707.pdf,sources/part_ii\19_Latinobarometro\Data_base\F00008775-Latinobarometro_1996_Codebook_v20190707.pdf,sources/part_ii,19_Latinobarometro/Data_base/F00008775-Latinobarometro_1996_Codebook_v20190707.pdf,19_Latinobarometro,Data_base,.pdf,2.612,2026-06-15,codebook_or_metadata
A1052,documentation,F00008776-Latinobarometro_1995_Libro_de_codigos_v20190707.pdf,sources/part_ii\19_Latinobarometro\Data_base\F00008776-Latinobarometro_1995_Libro_de_codigos_v20190707.pdf,sources/part_ii,19_Latinobarometro/Data_base/F00008776-Latinobarometro_1995_Libro_de_codigos_v20190707.pdf,19_Latinobarometro,Data_base,.pdf,2.109,2026-06-15,methodological_documentation
A1053,documentation,F00008777-Latinobarometro_1995_Codebook_v20190707.pdf,sources/part_ii\19_Latinobarometro\Data_base\F00008777-Latinobarometro_1995_Codebook_v20190707.pdf,sources/part_ii,19_Latinobarometro/Data_base/F00008777-Latinobarometro_1995_Codebook_v20190707.pdf,19_Latinobarometro,Data_base,.pdf,2.11,2026-06-15,codebook_or_metadata
A1054,documentation,F00008778-Informe_Latinobarometro_2002.pdf,sources/part_ii\19_Latinobarometro\Data_base\F00008778-Informe_Latinobarometro_2002.pdf,sources/part_ii,19_Latinobarometro/Data_base/F00008778-Informe_Latinobarometro_2002.pdf,19_Latinobarometro,Data_base,.pdf,0.056,2026-06-15,methodological_documentation
A1055,documentation,F00011648-Latinobarometro_2020_Questionnaire_Eng.pdf,sources/part_ii\19_Latinobarometro\Data_base\F00011648-Latinobarometro_2020_Questionnaire_Eng.pdf,sources/part_ii,19_Latinobarometro/Data_base/F00011648-Latinobarometro_2020_Questionnaire_Eng.pdf,19_Latinobarometro,Data_base,.pdf,0.307,2026-06-14,codebook_or_metadata
A1056,documentation,F00011649-Latinobarometro_2020_Metodologico.pdf,sources/part_ii\19_Latinobarometro\Data_base\F00011649-Latinobarometro_2020_Metodologico.pdf,sources/part_ii,19_Latinobarometro/Data_base/F00011649-Latinobarometro_2020_Metodologico.pdf,19_Latinobarometro,Data_base,.pdf,18.322,2026-06-14,methodological_documentation
A1057,documentation,F00011655-Latinobarometro_2020_Libro_de_Codigos.pdf,sources/part_ii\19_Latinobarometro\Data_base\F00011655-Latinobarometro_2020_Libro_de_Codigos.pdf,sources/part_ii,19_Latinobarometro/Data_base/F00011655-Latinobarometro_2020_Libro_de_Codigos.pdf,19_Latinobarometro,Data_base,.pdf,0.736,2026-06-14,methodological_documentation
A1058,documentation,F00011661-Latinobarometro_2020_Cuestionario_Esp.pdf,sources/part_ii\19_Latinobarometro\Data_base\F00011661-Latinobarometro_2020_Cuestionario_Esp.pdf,sources/part_ii,19_Latinobarometro/Data_base/F00011661-Latinobarometro_2020_Cuestionario_Esp.pdf,19_Latinobarometro,Data_base,.pdf,0.304,2026-06-14,codebook_or_metadata
A1059,documentation,F00011662-Latinobarometro_2020_Codebook.pdf,sources/part_ii\19_Latinobarometro\Data_base\F00011662-Latinobarometro_2020_Codebook.pdf,sources/part_ii,19_Latinobarometro/Data_base/F00011662-Latinobarometro_2020_Codebook.pdf,19_Latinobarometro,Data_base,.pdf,5.54,2026-06-14,codebook_or_metadata
A1060,documentation,F00016664-Latinobarometro_Informe_2023.pdf,sources/part_ii\19_Latinobarometro\Data_base\F00016664-Latinobarometro_Informe_2023.pdf,sources/part_ii,19_Latinobarometro/Data_base/F00016664-Latinobarometro_Informe_2023.pdf,19_Latinobarometro,Data_base,.pdf,2.442,2026-06-14,methodological_documentation
A1061,documentation,F00017053-Latinobarometro_2023_Questionnaire_Eng.pdf,sources/part_ii\19_Latinobarometro\Data_base\F00017053-Latinobarometro_2023_Questionnaire_Eng.pdf,sources/part_ii,19_Latinobarometro/Data_base/F00017053-Latinobarometro_2023_Questionnaire_Eng.pdf,19_Latinobarometro,Data_base,.pdf,0.232,2026-06-14,codebook_or_metadata
A1062,documentation,F00017055-Latinobarometro_2023_Libro_de_Codigos.pdf,sources/part_ii\19_Latinobarometro\Data_base\F00017055-Latinobarometro_2023_Libro_de_Codigos.pdf,sources/part_ii,19_Latinobarometro/Data_base/F00017055-Latinobarometro_2023_Libro_de_Codigos.pdf,19_Latinobarometro,Data_base,.pdf,0.226,2026-06-14,methodological_documentation
A1063,documentation,F00017109-Latinobarometro_2023_Codebook.pdf,sources/part_ii\19_Latinobarometro\Data_base\F00017109-Latinobarometro_2023_Codebook.pdf,sources/part_ii,19_Latinobarometro/Data_base/F00017109-Latinobarometro_2023_Codebook.pdf,19_Latinobarometro,Data_base,.pdf,0.178,2026-06-14,codebook_or_metadata
